keyword,competition,lower_bid,upper_bid,CPC
fibra mas tres lineas movil,58,0.76,2.54,1.27
fibra mas tv,63,0.65,3.04,1.58
fibra másmóvil,47,1.19,1.65,1.41
fibra mejor precio,52,0.75,2.77,1.3
fibra mobil,66,1.18,3.7,1.86
fibra movil,62,1.07,3.13,1.56
fibra móvil,62,1.07,3.13,1.56
fibra movil barato,63,0.98,3.45,1.6
fibra movil fijo,60,0.85,2.35,1.25
fibra movil mas barata,65,1.1,2.96,1.39
fibra movil mas barato,65,1.09,2.94,1.42
fibra movil masmovil,49,1.18,1.2,1.3
fibra movil movistar,39,0.27,0.99,0.54
fibra movil netflix,57,0.65,2.45,1.17
fibra movil oferta,61,0.98,2.99,1.64
fibra movil ofertas,61,0.98,2.99,1.46
fibra móvil orange,44,0.71,4.47,1.49
fibra movil television,63,0.74,3.05,1.47
fibra movil tv,63,0.74,3.06,1.25
fibra movil tv comparador,62,0.76,3.13,1.2
fibra movil tv orange,38,0.65,6.02,1.06
fibra móvil tv sin permanencia,53,0.98,2.97,1.48
fibra móvil y fijo,60,0.69,2.32,1.2
fibra movil y fijo mas barato,57,0.89,2.38,0.94
fibra movil y futbol,60,0.6,2.37,1.32
fibra movil y netflix,59,0.69,1.99,1.26
fibra móvil y netflix,59,0.7,2.0,1.34
fibra movil y television,63,0.74,3.04,1.25
fibra movil y tv,63,0.74,3.06,1.25
fibra móvil y tv,63,0.74,3.06,1.47
fibra movil y tv mas barato,65,1.03,3.3,1.63
fibra movil y tv movistar,33,0.18,1.19,0.76
fibra móvil y tv movistar,33,0.18,1.19,0.76
fibra movil y tv ofertas,64,0.77,3.05,1.38
fibra moviles,62,1.06,3.12,1.56
fibra movistar oferta,35,0.44,2.17,0.71
fibra movistar ofertas,35,0.44,2.17,0.71
fibra movistar tarifas,30,0.49,1.98,0.79
fibra murcia,45,0.64,2.3,0.96
fibra netflix,52,0.56,2.72,0.99
fibra network,45,0.56,2.18,1.34
fibra oferta,61,0.76,2.59,1.27
fibra ofertas,61,0.75,2.58,1.27
fibra ofertas sin permanencia,58,1.13,4.08,2.13
fibra opitca,30,0.0,0.0,1.39
fibra optica,82,0.76,2.97,1.39
fibra óptica,82,0.76,2.97,1.39
fibra 1g,70,0.96,2.67,1.45
fibra 1gb,65,0.76,2.73,1.24
fibra 1gb más barata,64,0.74,2.19,1.17
fibra 1gb mas movil,63,1.15,1.9,1.34
fibra 2 lineas movil,58,0.76,2.65,1.15
fibra 2 lineas movil comparador,59,0.63,2.52,0.94
